REGIÓN;NOMBRE;SUBTIPO;CONTENIDO
Cusco;Festividad Del Señor De Los Temblores;Fiestas religiosas-patronales;"""Tradición religiosa cusqueña en la que se venera al Cristo moreno, considerado protector de los sismos; se celebra con procesiones solemnes, flores de ñucchu y fervor popular."""
Cajamarca;Petrogligos De Yonan;Petroglifos (Grabados en piedra);"""Conjunto de grabados rupestres ubicados en Cajamarca, que representan figuras antropomorfas y zoomorfas de origen prehispánico."""
Huánuco;Nevado De Yerupajá De Queropalca;Nevado;"""Imponente montaña ubicada en la Cordillera Huayhuash, considerada la segunda más alta del Perú, ideal para montañismo y turismo de aventura."""
Huánuco;Cordillera Huayhuash - Huánuco;Cordillera;"""Cadena montañosa de gran belleza escénica con lagunas glaciares, ideal para trekking, biodiversidad y turismo ecológico."""
Apurímac;Andenerías De Caraybamba ;Andenes;"""Terrazas agrícolas preincaicas ubicadas en Apurímac, ejemplo de la ingeniería agrícola ancestral adaptada al relieve andino."""
Apurímac; Sitio Arqueológico De Marcapuchungo;Zonas arqueológicas;"""Antiguo asentamiento prehispánico con estructuras de piedra y andenes, ubicado en la región andina, que muestra la organización social de culturas antiguas."""
Apurímac;Puente Colonial Pachachaca;Puentes;"""Puente de origen colonial construido con piedra y cal, ubicado en Apurímac, que sirvió como importante vía de comunicación en la época virreinal."""
Apurímac;Templo Santa Catalina De Curahuasi;Templo;"""Iglesia colonial del siglo XVII, ubicada en Apurímac, de arquitectura andina-barroca con elementos culturales mestizos."""
Apurímac;Templo Colonial De Cocharcas;Templo;"""Santuario religioso en Apurímac, reconocido por su arquitectura y por ser centro de peregrinación mariana en honor a la Virgen de Cocharcas."""
Apurímac;Baños Termales De Pincahuacho;Otros;"""Aguas termales medicinales ubicadas en Apurímac, ideales para el descanso y el tratamiento de enfermedades reumáticas."""
Ica;Centro Administrativo Tambo Colorado;Templos;"""Complejo incaico bien conservado ubicado en Pisco, con estructuras de adobe y coloración original, que muestra la organización política-administrativa del Tawantinsuyo."""
Junín;Laguna De Pomacocha;Lagunas;"""Belleza natural ubicada en la sierra peruana, con aguas tranquilas rodeadas de paisajes andinos, ideal para actividades recreativas y ecológicas."""
Piura;Pueblo Simbilá;Artesanales;"""Pequeña comunidad ubicada en Piura que conserva tradiciones culturales, arquitectura rural y una historia ligada al desarrollo regional."""
Piura;Iglesia Nuestra Señora Del Carmen;Iglesias;"""Templo colonial ubicado en diversas regiones del Perú, de estilo barroco mestizo, dedicado a la Virgen del Carmen, patrona de muchas localidades."""
Piura;Parque Ecologico Kurt Beer;Parques;"""Espacio natural de conservación en Moquegua que ofrece áreas verdes, actividades de educación ambiental y turismo sostenible."""
Piura;Reserva Nacional Illescas;Reservas Nacionales;"""Área protegida en Piura que alberga ecosistemas únicos de desierto costero y especies como el zorro costero y el cóndor andino."""
Piura;Manglares San Pedro De Vice;Manglares;"""Ecosistema de manglares ubicado en Sechura, Piura, que protege especies marinas y aves migratorias, promoviendo el ecoturismo."""
Piura;Playa San Pablo;Playas;"""Playa ubicada en la costa norte del Perú, de oleaje tranquilo, ideal para la pesca artesanal y el turismo de sol y playa."""
Piura;Laguna Ñapique;Lagunas;"""Cuerpo de agua ubicado en Sechura, Piura, rodeado de totorales, hábitat de aves acuáticas, importante para la biodiversidad y la pesca."""
